name,ticker,ca,amount,price,total_value,anti_whale_modifiable,buy_tax,can_take_back_ownership,cannot_buy,cannot_sell_all,creator_address,creator_balance,creator_percent,external_call,fake_token,hidden_owner,holder_count,honeypot_with_same_creator,is_airdrop_scam,is_anti_whale,is_blacklisted,is_honeypot,is_in_dex,is_mintable,is_open_source,is_proxy,is_true_token,is_whitelisted,lp_holder_count,lp_total_supply,note,other_potential_risks,owner_address,owner_balance,owner_change_balance,owner_percent,personal_slippage_modifiable,selfdestruct,sell_tax,slippage_modifiable,token_name,token_symbol,total_supply,trading_cooldown,transfer_pausable,trust_list
Prisma Governance Token,PRISMA,0xdA47862a83dac0c112BA89c6abC2159b95afd71C,2.67985383,0.0329,0.09,False,0.0,False,False,False,0xd8531a94100f15af7521a7b6e724ac4959e0a025,8.999318e-12,0.0,False,,True,4395.0,True,,False,False,False,True,True,True,False,,False,2.0,0.003162277660168379,,,0xc53baaaa8595a7a2e7fee71db7291b939f696734,0.0,1.0,0.0,False,False,0.0,False,Prisma Governance Token,PRISMA,300000000.0,False,False,False
MAGA,MAGA,0xd29da236dd4aac627346e1bba06a619e8c22d7c5,4747.0,0.0,0.06,False,0.0,False,False,False,0x5d5a00280e5f770f0aa1d0831294fe058b533940,0.0,0.0,False,,False,23705.0,False,,False,True,False,True,False,True,False,,True,9.0,24.384431577100706,,,0x0000000000000000000000000000000000000000,0.0,0.0,0.0,False,False,0.0,False,MAGA,MAGA,420690000000.0,False,False,False
PERRO DINERO,JOTCHUA,0x808c16ace7404777fe24a6777a9cb2335aa82451,69.0,0.0002,0.01,True,0.0,False,False,False,0x2bbeed14c707d30b309136ef83080d1bc7b3a04e,0.0,0.0,False,,False,1437.0,False,,True,True,False,True,False,True,False,,True,3.0,30512.331931616285,,,0x0000000000000000000000000000000000000000,0.0,0.0,0.0,False,False,0.0,False,PERRO DINERO,JOTCHUA,1000000000.0,False,False,False
BearX Coin,bearx,0x4f43A17Dd6531051af1b6E1a7c7eBA1aF16b275b,10.0,0,0,False,0.0,False,False,False,0x6e9618ae767107807a59263e9894da5bfdb689b0,0.0,0.0,False,,False,1069.0,False,,False,False,False,False,False,True,False,,False,,,,,0x274ca2b62143f6c5e1e6f879394ccaa8a4537f35,4989987999.0,0.0,0.498999,False,False,0.0,False,BearX Coin,bearx,10000000000.0,False,False,False
Dawn,DAWN,0x580c8520deda0a441522aeae0f9f7a5f29629afa,1.23456,0.0018,0.0,False,0.0,False,False,False,0xf0e79eb1402ce23ad192cd6834607fd3dd452a42,0.0,0.0,False,,False,3242.0,False,,False,False,False,True,False,True,True,,False,4.0,0.012384862836862012,,,,,,,False,False,0.0,False,Dawn,DAWN,76588156.82742885,False,False,False
Ross Ulbricht Genesis Collection,FREE,0x4cd0c43b0d53bc318cc5342b77eb6f124e47f526,1.0,0.0001,0.0,False,0.0,False,False,False,0x85aa7f78bdb2de8f3e0c0010d99ad5853ffcfc63,0.0,0.0,False,,False,3702.0,False,,False,False,False,True,False,True,True,,False,3.0,96.40091991524672,,,,,,,False,False,0.0,False,Ross Ulbricht Genesis Collection,FREE,9287305927.354893,False,False,False
Sora Token,XOR,0x40FD72257597aA14C7231A7B1aaa29Fce868F677,663300.0,0.0,0.0,False,0.0003,False,False,False,0xc08edf13be9b9cc584c5da8004ce7e6be63c1316,726.0,0.0,False,,False,20056.0,False,,False,False,False,True,True,True,False,,False,7.0,894173230.7305883,,,0xc08edf13be9b9cc584c5da8004ce7e6be63c1316,726.0,0.0,0.0,False,False,0.0,False,Sora Token,XOR,1.776426998899565e+19,False,False,False
Uncle Sam,USAM,0x0f79dff082b6f4324528f5ded2d6b8aa6d576277,6141946.69,0,0,False,0.0,False,False,False,0x9558efb1738aae2c54fd2f3c3f2185c5116fb371,0.0,0.0,False,,False,295.0,False,,False,False,False,True,False,True,False,,False,3.0,6.621625782238075,,,0x0000000000000000000000000000000000000000,0.0,0.0,0.0,False,False,0.0,False,Uncle Sam,USAM,313185200000.0,False,False,False
World Liberty Financial,WLFI,0xda5e1988097297dcdc1f90d4dfe7909e847cbef6,41500000769.6958,0,0,False,,False,False,False,0x97f1f8003ad0fb1c99361170310c65dc84f921e3,0.0,0.0,False,,False,85112.0,False,,False,False,False,False,False,True,True,,False,,,,,,,,,False,False,,False,World Liberty Financial,WLFI,100000000000.0,False,False,False
$WLFI,$WLFI,0xdb48451ab980a2b530999c3cc883b33390f5e8a7,1010000.0,0,0,False,0.0,False,False,False,0x146cc769f885f4dadb7e74e7d8771526a838d557,29997999856.944336,0.29998,False,,False,12.0,False,,False,False,False,True,False,False,False,,False,1.0,22234680.26790944,,,,,,,False,False,0.0001,False,$WLFI,$WLFI,100000000000.0,False,False,False
